State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn
LA,117.0,408,No,No,0,184.5,97.0,338.35,80.0,215.8,90,8.7,4.0,1.0,False
IN,65.0,415,No,No,0,129.1,137.0,228.5,83.0,208.8,111,12.7,6.0,3.5,True
NY,161.0,415,No,No,0,325.45000000000005,67.0,317.8,97.0,160.6,128,5.4,9.0,3.5,True
SC,111.0,415,No,No,0,110.4,103.0,137.3,102.0,189.6,105,7.7,6.0,2.0,False
HI,49.0,510,No,No,0,119.3,117.0,215.1,109.0,178.7,90,11.1,1.0,1.0,False
AK,36.0,408,No,Yes,30,146.3,128.0,162.5,80.0,129.3,109,14.5,6.0,0.0,False
MI,65.0,415,No,No,0,211.3,120.0,162.6,122.0,134.7,118,13.2,5.0,3.0,False
ID,119.0,415,No,No,0,159.1,114.0,231.3,117.0,143.2,91,8.8,3.0,3.5,True
VA,10.0,408,No,No,0,186.1,112.0,190.2,66.0,282.8,57,11.4,6.0,2.0,False
WI,68.0,415,No,No,0,148.8,70.0,246.5,154.5,129.8,103,12.1,3.0,3.0,False
MN,74.0,510,No,Yes,33,193.7,91.0,246.1,96.0,138.0,92,14.6,3.0,2.0,False
HI,85.0,415,No,No,0,235.8,109.0,157.2,94.0,188.2,99,12.0,3.0,0.0,False
MN,46.0,415,No,No,0,214.1,72.0,164.4,104.0,177.5,113,8.2,3.0,2.0,False
VT,128.0,510,No,Yes,29,179.3,104.0,225.9,86.0,323.0,78,8.6,7.0,0.0,False
LA,155.0,415,No,No,0,203.4,100.0,190.9,104.0,196.0,119,8.9,4.0,0.0,True
MT,73.0,415,No,No,0,160.1,110.0,213.3,72.0,174.1,72,13.0,4.0,0.0,False
ID,77.0,415,No,No,0,251.8,72.0,205.7,126.0,275.2,109,9.8,7.0,2.0,True
MA,108.0,415,No,No,0,178.3,137.0,189.0,76.0,129.1,102,14.6,5.0,0.0,False
KY,95.0,408,No,No,0,135.0,99.0,183.6,106.0,245.3,102,12.5,9.0,1.0,False
MI,36.0,510,No,Yes,29,281.4,102.0,202.2,76.0,187.2,113,9.0,6.0,2.0,False
CO,141.0,415,No,Yes,32,148.6,91.0,131.1,97.0,219.4,142,10.1,1.0,1.0,False
AZ,63.0,415,No,No,0,58.9,125.0,169.6,59.0,211.4,88,9.4,3.0,1.0,False
ID,97.0,408,No,No,0,239.8,125.0,214.8,111.0,143.3,81,8.7,5.0,2.0,False
CA,75.0,408,No,No,0,166.3,125.0,158.2,86.0,256.7,80,6.1,5.0,1.0,False
WA,127.0,408,No,No,0,146.7,91.0,203.5,78.0,203.4,110,13.7,3.0,1.0,False
LA,121.0,408,No,No,0,181.5,121.0,218.4,98.0,161.6,103,8.5,5.0,1.0,False
NE,117.0,415,No,No,0,102.8,119.0,206.7,91.0,299.0,105,10.1,7.0,1.0,False
OH,65.0,408,No,No,0,187.9,116.0,157.6,117.0,227.3,86,7.5,6.0,1.0,False
MO,6.0,510,No,No,0,183.6,117.0,256.7,72.0,178.6,79,10.2,2.0,1.0,False
AL,32.0,510,No,No,0,230.9,87.0,187.4,90.0,154.0,53,6.3,2.0,0.0,False
NH,64.0,408,No,Yes,27,182.1,91.0,169.7,98.0,164.7,86,10.6,5.0,2.0,False
NM,25.0,415,No,No,0,119.3,87.0,211.5,101.0,268.9,86,10.5,4.0,3.0,False
OR,65.0,415,No,No,0,116.8,87.0,178.9,93.0,182.4,150,14.1,2.0,1.0,False
MI,127.0,415,No,No,0,202.1,103.0,229.4,86.0,195.2,113,11.5,3.0,2.0,False
AZ,93.0,415,No,No,0,271.6,71.0,229.4,108.0,77.3,121,10.9,3.0,2.0,False
TX,206.5,510,No,No,0,325.45000000000005,67.0,176.3,113.0,181.7,102,10.7,6.0,2.0,True
IN,122.0,415,No,No,0,243.8,98.0,83.9,72.0,179.8,84,13.7,8.0,2.0,False
LA,99.0,415,No,No,0,241.1,72.0,155.6,98.0,188.2,109,11.6,10.0,1.0,False
MS,65.0,415,No,No,0,136.1,112.0,272.9,96.0,220.2,104,4.4,2.0,1.0,False
IN,65.0,415,No,No,0,213.4,111.0,234.5,94.0,250.1,123,3.1000000000000005,4.0,1.0,False
KY,45.0,415,No,Yes,22,196.6,84.0,313.2,92.0,163.3,108,11.9,3.0,0.0,False
MN,139.0,510,No,No,0,134.4,106.0,211.3,98.0,193.6,125,10.2,2.0,3.5,True
WY,206.5,510,No,No,0,83.6,148.0,120.9,91.0,226.6,110,10.7,9.0,0.0,False
AZ,94.0,408,No,No,0,181.8,85.0,202.4,98.0,245.9,97,9.2,2.0,3.5,False
NM,119.0,510,No,Yes,23,154.0,114.0,278.0,137.0,228.4,112,11.8,4.0,2.0,False
MI,86.0,510,No,Yes,41,119.0,101.0,230.0,134.0,236.9,58,9.5,3.0,0.0,False
FL,106.0,408,No,Yes,32,165.9,126.0,216.5,93.0,173.1,86,14.1,8.0,3.5,False
KS,92.0,408,Yes,No,0,62.6,111.0,180.6,126.0,221.7,80,10.4,2.0,1.0,True
SC,78.0,510,No,No,0,168.3,110.0,221.2,73.0,241.0,136,12.5,1.0,1.0,False
NC,155.0,408,No,No,0,262.4,55.0,194.6,113.0,146.5,85,8.3,6.0,2.0,False
MO,64.0,510,No,Yes,48,94.4,104.0,136.2,101.0,147.4,89,4.5,4.0,0.0,False
WA,83.0,415,No,No,0,221.4,103.0,231.8,103.0,122.5,100,9.8,5.0,3.0,False
