International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Total_Minutes,Total_Calls,Avg_Daily_Usage,Call_Frequency,Intl_Usage_Rate,High_Service_Calls,log_Total_Minutes,log_Avg_Daily_Usage,log_Call_Frequency,Churn
0,0,0,184.5,97,351.6,215.8,90,8.7,4,1,760.6000000000001,271,155.22448979591837,55.306122448979586,0.01142331932773109,0,6.635421483477156,5.051294009981158,4.030803276106659,0
0,0,0,129.1,137,228.5,208.8,111,12.7,6,4,579.1000000000001,337,182.87368421052636,106.42105263157896,0.021892777107395272,1,6.363200502472019,5.214249023004911,4.676756183643405,1
0,0,0,332.9,67,317.8,160.6,128,5.4,9,4,816.7,301,128.27748691099478,47.27748691099477,0.006603888956830133,1,6.706495521167931,4.8619611554671565,3.8769653424925115,1
0,0,0,110.4,103,137.3,189.6,105,7.7,6,2,445.0,316,94.68085106382978,67.23404255319149,0.01726457399103139,0,6.100318952020064,4.561018185060648,4.222943597983097,0
0,0,0,119.3,117,215.1,178.7,90,11.1,1,1,524.1999999999999,317,199.06329113924048,120.37974683544304,0.021134805788271135,0,6.263779142428641,5.298633772182696,4.798924034686659,0
0,1,30,146.3,128,162.5,129.3,109,14.5,6,0,452.6,323,205.72727272727272,146.8181818181818,0.03196649029982363,0,6.117215752413542,5.331400401512111,4.995983017309386,0
0,0,0,211.3,120,162.6,134.7,118,13.2,5,3,521.8,365,164.77894736842106,115.26315789473685,0.0252486610558531,0,6.259198981750067,5.11065525857404,4.755856224253677,0
0,0,0,159.1,114,231.3,143.2,91,8.8,3,5,542.3999999999999,325,109.20805369127514,65.43624161073825,0.016194331983805675,1,6.297845696992247,4.702369976546378,4.196242714974348,1
0,0,0,186.1,112,190.2,282.8,57,11.4,6,2,670.4999999999999,241,502.87499999999994,180.75,0.016976917349218173,0,6.509514015963292,6.22232822143733,5.202632116413628,0
0,0,0,148.8,70,246.5,129.8,103,12.1,3,3,537.2,340,164.44897959183675,104.08163265306122,0.02248234856930509,0,6.2882302382928055,5.108662866877081,4.654737501935514,0
0,1,33,193.7,91,246.1,138.0,92,14.6,3,2,592.4,282,170.88461538461536,81.34615384615384,0.02460397708122683,0,6.385868707856721,5.14682341091197,4.410931750568201,0
0,0,0,235.8,109,157.2,188.2,99,12.0,3,0,593.2,305,154.74782608695654,79.56521739130434,0.020195220464490068,0,6.387215963028507,5.048238199862008,4.38906701035621,0
0,0,0,214.1,72,164.4,177.5,113,8.2,3,2,564.2,292,222.7105263157895,115.26315789473685,0.014508138711960366,0,6.337179650810373,5.410352922890973,4.755856224253677,0
